rk,squad,mp,w,d,l,gf,ga,gd,pts,pts_mp,xg,xga,xgd,xgd_90,attendance,top_team_scorer,goalkeeper,notes,season,fetched_date,week_no
1,Arsenal,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
2,Aston Villa,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
3,Bournemouth,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
4,Brentford,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
5,Brighton,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
6,Burnley,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
7,Chelsea,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
8,Crystal Palace,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
9,Everton,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
10,Fulham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
11,Leeds United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
12,Liverpool,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
13,Manchester City,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
14,Manchester United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
15,Newcastle United,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
16,Nottingham Forest,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
17,Sunderland,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
18,Tottenham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
19,West Ham,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
20,Wolves,0,0,0,0,0,0,0,0,,,,,,,,,,2025-2026,2025-08-04,32
