rk,squad,mp,w,d,l,gd,pts,season,fetched_date,week_no
1,Liverpool,24,17,6,1,35,57,2025-2026,2025-02-15,7
2,Arsenal,24,14,8,2,27,50,2025-2026,2025-02-15,7
3,Nottingham Forest,24,14,5,5,13,47,2025-2026,2025-02-15,7
4,Chelsea,25,12,7,6,13,43,2025-2026,2025-02-15,7
5,Manchester City,24,12,5,7,13,41,2025-2026,2025-02-15,7
6,Newcastle United,24,12,5,7,13,41,2025-2026,2025-02-15,7
7,Bournemouth,24,11,7,6,13,40,2025-2026,2025-02-15,7
8,Brighton,25,9,10,6,0,37,2025-2026,2025-02-15,7
9,Aston Villa,24,10,7,7,-3,37,2025-2026,2025-02-15,7
10,Fulham,24,9,9,6,4,36,2025-2026,2025-02-15,7
11,Brentford,24,9,4,11,0,31,2025-2026,2025-02-15,7
12,Crystal Palace,24,7,9,8,-2,30,2025-2026,2025-02-15,7
13,Manchester United,24,8,5,11,-6,29,2025-2026,2025-02-15,7
14,Tottenham,24,8,3,13,11,27,2025-2026,2025-02-15,7
15,Everton,24,6,9,9,-5,27,2025-2026,2025-02-15,7
16,West Ham,24,7,6,11,-17,27,2025-2026,2025-02-15,7
17,Wolves,24,5,4,15,-18,19,2025-2026,2025-02-15,7
18,Leicester City,24,4,5,15,-28,17,2025-2026,2025-02-15,7
19,Ipswich Town,24,3,7,14,-27,16,2025-2026,2025-02-15,7
20,Southampton,24,2,3,19,-36,9,2025-2026,2025-02-15,7
