rk,squad,mp,w,d,l,gf,ga,gd,pts,season,fetched_date,week_no
1,Arsenal,22,15,5,2,40,14,26,50,2025-2026,2026-01-23,4
2,Manchester City,22,13,4,5,45,21,24,43,2025-2026,2026-01-23,4
3,Aston Villa,22,13,4,5,33,25,8,43,2025-2026,2026-01-23,4
4,Liverpool,22,10,6,6,33,29,4,36,2025-2026,2026-01-23,4
5,Manchester United,22,9,8,5,38,32,6,35,2025-2026,2026-01-23,4
6,Chelsea,22,9,7,6,36,24,12,34,2025-2026,2026-01-23,4
7,Brentford,22,10,3,9,35,30,5,33,2025-2026,2026-01-23,4
8,Newcastle United,22,9,6,7,32,27,5,33,2025-2026,2026-01-23,4
9,Sunderland,22,8,9,5,23,23,0,33,2025-2026,2026-01-23,4
10,Everton,22,9,5,8,24,25,-1,32,2025-2026,2026-01-23,4
11,Fulham,22,9,4,9,30,31,-1,31,2025-2026,2026-01-23,4
12,Brighton & Hove Albion,22,7,9,6,32,29,3,30,2025-2026,2026-01-23,4
13,Crystal Palace,22,7,7,8,23,25,-2,28,2025-2026,2026-01-23,4
14,Tottenham Hotspur,22,7,6,9,31,29,2,27,2025-2026,2026-01-23,4
15,Bournemouth,22,6,9,7,35,41,-6,27,2025-2026,2026-01-23,4
16,Leeds United,22,6,7,9,30,37,-7,25,2025-2026,2026-01-23,4
17,Nottingham Forest,22,6,4,12,21,34,-13,22,2025-2026,2026-01-23,4
18,West Ham United,22,4,5,13,24,44,-20,17,2025-2026,2026-01-23,4
19,Burnley,22,3,5,14,23,42,-19,14,2025-2026,2026-01-23,4
20,Wolverhampton Wanderers,22,1,5,16,15,41,-26,8,2025-2026,2026-01-23,4
