team_id,team_name,start_day_position,current_position,wins,draws,losses,goals_for,goals_against,goal_difference,table_points,matches_played,recent_form,week_number
t41,Birmingham City,1,1,26,8,3,63,25,38,86,37,"W,D,W,W,L",14
t109,Wrexham,2,2,23,8,8,54,30,24,77,39,"W,W,W,L,W",14
t112,Wycombe Wanderers,3,3,21,11,6,65,36,29,74,38,"W,W,L,D,W",14
t33,Charlton Athletic,4,4,20,9,10,53,35,18,69,39,"W,L,W,W,D",14
t48,Stockport County,5,5,19,11,9,55,36,19,68,39,"W,L,W,D,D",14
t108,Reading,8,6,17,11,10,55,47,8,62,38,"W,D,W,D,D",14
t38,Huddersfield Town,6,7,18,7,13,52,38,14,61,38,"L,W,L,L,W",14
t30,Bolton Wanderers,7,8,18,6,14,60,57,3,60,38,"L,L,L,W,W",14
t85,Leyton Orient,9,9,18,5,15,54,38,16,59,38,"W,W,L,L,L",14
t92,Blackpool,10,10,14,15,10,59,51,8,57,39,"W,W,L,W,W",14
t37,Barnsley,11,11,15,9,15,53,55,-2,54,39,"D,D,L,L,L",14
t83,Lincoln City,12,12,13,11,15,53,46,7,50,39,"L,D,W,L,W",14
t288,Stevenage,13,13,13,10,15,35,39,-4,49,38,"L,D,L,D,W",14
t77,Mansfield Town,17,14,13,8,17,45,52,-7,47,38,"W,W,L,D,D",14
t73,Peterborough United,15,15,12,9,17,57,63,-6,45,38,"L,W,W,D,D",14
t72,Rotherham United,14,16,12,9,17,42,49,-7,45,38,"L,L,D,L,W",14
t71,Exeter City,16,17,12,9,17,40,53,-13,45,38,"L,D,D,W,W",14
t111,Wigan Athletic,18,18,11,11,15,34,37,-3,44,37,"D,L,W,D,L",14
t75,Northampton Town,19,19,10,13,16,38,57,-19,43,39,"D,L,D,W,D",14
t96,Bristol Rovers,20,20,12,6,21,40,63,-23,42,39,"L,L,L,W,W",14
t587,Burton Albion,21,21,8,12,18,39,55,-16,36,38,"L,W,L,L,D",14
t1525,Crawley Town,22,22,9,9,21,44,71,-27,36,39,"W,W,L,L,D",14
t101,Cambridge United,23,23,7,10,22,37,63,-26,31,39,"D,D,L,L,L",14
t74,Shrewsbury Town,24,24,7,7,24,35,66,-31,28,38,"L,L,L,D,L",14
